playerid,namefirst,namelast
baldwja01,James,Baldwin
baldwje01,Jeff,Baldwin
baldwki01,Kid,Baldwin
baldwla01,Lady,Baldwin
baldwma01,Mark,Baldwin
baldwof01,Orson,Baldwin
baldwre01,Reggie,Baldwin
baldwri01,Rick,Baldwin
balejo01,John,Bale
balenmi01,Mike,Balenti
balenwl01,Wladimir,Balentien
balesco01,Collin,Balester
balesle01,Lee,Bales
balfogr01,Grant,Balfour
ballaje01,Jeff,Ballard
ballar01,Art,Ball
balleja01,Jay,Baller
ballepe01,Pelham,Ballenger
ballima01,Mark,Ballinger
ballje01,Jeff,Ball
ballji01,Jim,Ball
ballne01,Neal,Ball
ballowi01,Win,Ballou
balsato01,Tony,Balsamo
bambege01,George,Bamberger
bambeha01,Hal,Bamberger
banckst01,Studs,Bancker
bancrda01,Dave,Bancroft
bancrfr99,Frank,Bancroft
bandoch01,Chris,Bando
bandosa01,Sal,Bando
bandyje01,Jett,Bandy
baneed01,Eddie,Bane
baneydi01,Dick,Baney
banisje01,Jeff,Banister
bankhda01,Dan,Bankhead
bankhsc01,Scott,Bankhead
banksbi01,Bill,Yerrick
banksbr01,Brian,Banks
bankser01,Ernie,Banks
banksev01,Bill,Bankston
banksge01,George,Banks
banksjo01,Josh,Banks
bankswe01,Wes,Bankston
bankswi01,Willie,Banks
bannial01,Alan,Bannister
bannibr01,Brian,Bannister
bannifl01,Floyd,Bannister
banniji01,Jim,Banning
bannoji01,Jimmy,Bannon
bannoto01,Tom,Bannon
bantaja01,Jack,Banta
bantzbr01,Brandon,Bantz
banuema01,Manny,Banuelos
baptitr01,Travis,Baptist
barajro01,Rod,Barajas
barbare01,Red,Barbary
barbawa01,Walter,Barbare
barbebr01,Bret,Barberie
barbebr02,Brian,Barber
barbech01,Charlie,Barber
barbeda01,Dave,Barbee
barbefr01,Frank,Barberich
barbeja01,Jap,Barbeau
barbest01,Steve,Barber
barbest02,Steve,Barber
barbetu01,Turner,Barber
barbiji01,Jim,Barbieri
barcelo01,Lorenzo,Barcelo
barclcu01,Curt,Barclay
barclge01,George,Barclay
bardda01,Daniel,Bard
bardebr01,Brian,Barden
bardjo01,Josh,Bard
barera01,Ray,Bare
barfije01,Jesse,Barfield
barfijo01,John,Barfield
barfijo02,Josh,Barfield
barfocl01,Clyde,Barfoot
bargagr01,Greg,Bargar
bargecy01,Cy,Barger
barkbr01,Brian,Bark
barkeal01,Al,Barker
barkean01,Andy,Barkett
barkegl01,Glen,Barker
barkeke01,Kevin,Barker
barkele01,Len,Barker
barkera01,Ray,Barker
barkeri01,Richie,Barker
barkese01,Sean,Barker
barklbr01,Brian,Barkley
barklje01,Jeff,Barkley
barklre01,Red,Barkley
barklsa01,Sam,Barkley
barlial99,Al,Barlick
barlomi01,Mike,Barlow
barloto01,Tom,Barlow
barmebr01,Bruce,Barmes
barmecl01,Clint,Barmes
barnaba01,Babe,Barna
barnach01,Charlie,Barnabe
barneau01,Austin,Barnes
barnebi01,Bill,Barnes
barnebo01,Bob,Barnes
barnebr01,Brian,Barnes
barnebr02,Brandon,Barnes
barneda01,Darwin,Barney
barneed01,Ed,Barney
barneep01,Eppie,Barnes
barnefr01,Frank,Barnes
barnefr02,Frank,Barnes
barneho01,Honey,Barnes
barneje01,Jesse,Barnes
barnejo01,John,Barnes
barneju01,Junie,Barnes
barnela01,Larry,Barnes
barnelu01,Lute,Barnes
barnema01,Matt,Barnes
barnere01,Red,Barnes
barnere02,Rex,Barney
barneri01,Rich,Barnes
barnero01,Ross,Barnes
barnesa01,Sam,Barnes
barnesc01,Scott,Barnes
barnesk01,Skeeter,Barnes
barnevi01,Virgil,Barnes
barnhcl01,Clyde,Barnhart
barnhed01,Edgar,Barnhart
barnhle01,Les,Barnhart
barnhtu01,Tucker,Barnhart
barnhvi01,Vic,Barnhart
barnibi01,Billy,Barnie
barnige01,George,Barnicle
barnoed01,Ed,Barnowski
barnwch01,Chris,Barnwell
barojsa01,Salome,Barojas
baronda01,Daniel,Barone
barondi01,Dick,Barone
baronst01,Steve,Baron
barracu01,Cuno,Barragan
barrage01,German,Barranca
barraky01,Kyle,Barraclough
barrbo01,Bob,Barr
barrbo02,Bob,Barr
barre01,John,Barrett
barreaa01,Aaron,Barrett
barrebi01,Bill,Barrett
barrebi02,Bill,Barrett
barrebo01,Bob,Barrett
barredi01,Dick,Barrett
barrefr01,Frank,Barrett
barreji01,Jimmy,Barrett
barrejo01,Johnny,Barrett
barrema01,Marty,Barrett
barrema02,Marty,Barrett
barremi01,Michael,Barrett
barrere01,Red,Barrett
barreti01,Tim,Barrett
barreto01,Tom,Barrett
barrifr01,Francisco,Barrios
barrijo01,Jose,Barrios
barrima01,Manuel,Barrios
barriyh01,Yhonathan,Barrios
barrji01,Jim,Barr
barrocu01,Cuke,Barrows
barroed99,Ed,Barrow
barrofr01,Frank,Barrows
barrofr02,Frank,Barron
barrore01,Red,Barron
barroto01,Tony,Barron
barrsc01,Scotty,Barr
barrst01,Steve,Barr
barryed01,Ed,Barry
barryha01,Hardin,Barry
